config_compute,1,2,3,4,5,6,7,8,9,11,12,13,14,15,17
clickhouse-cloud-iceberg_aws.5x30c120m,4.277,3.067,4.215,5.35,2.526,6.198,4.354,7.901,2.95,4.365,2.22,1.689,3.511,,8.988
clickhouse-cloud_aws.4x8c32m,2.466,1.481,3.179,3.532,2.274,3.621,3.466,5.724,2.252,3.567,1.937,1.493,2.887,,4.25
clickhouse-cloud_aws.5x30c120m,0.619,0.352,0.771,0.854,0.564,1.262,0.866,1.399,0.59,0.925,0.637,0.505,0.774,,1.778
databricks_DBX_S,9.9,3.1,4.8,3.6,2.3,7.7,2.2,4.4,2.4,3.5,2.5,1.6,2.8,9.8,5.8
databricks_DBX_XS,11.9,3.4,6.0,4.3,3.3,9.1,2.5,6.2,3.6,4.1,3.2,1.7,3.8,13.5,10.8
snowflake_SF_S_Gen1,6.8,5.4,4.8,9.3,3.7,11.0,11.0,15.0,5.2,9.1,5.6,3.4,9.2,20.0,7.3
snowflake_SF_S_Gen2,6.2,3.5,3.4,7.3,2.7,7.7,6.6,10.0,4.2,5.6,3.3,2.5,6.1,14.0,4.0
snowflake_SF_XS_Gen1,12.0,10.0,9.2,18.0,6.5,20.0,32.0,30.0,10.0,17.0,10.0,5.9,17.0,39.0,16.0
snowflake_SF_XS_Gen2,8.5,6.6,6.7,14.0,4.1,14.0,13.0,20.0,6.6,11.0,6.1,3.9,11.0,26.0,7.3
